postal_code,type,city_en
70195,POST_OFFICE,Gangeyaya
82506,POST_OFFICE,Gangulandeniya
20735,POST_OFFICE,Gannewa Udagama
71222,POST_OFFICE,Gantuna
70026,POST_OFFICE,Gawaragiriya
70097,POST_OFFICE,Gawaranhena
90082,POST_OFFICE,Gawarawela
20620,POST_OFFICE,Gelioya
50224,POST_OFFICE,Gemunupura
70620,POST_OFFICE,Getahetta
50392,POST_OFFICE,Getalawa
82420,POST_OFFICE,Getamanna
70002,POST_OFFICE,Gillimale
22680,POST_OFFICE,Ginigathhena
80220,POST_OFFICE,Ginimellagaha
80280,POST_OFFICE,Gintota
90750,POST_OFFICE,Girandurukotte
60752,POST_OFFICE,Girathalana
51026,POST_OFFICE,Giritale
60140,POST_OFFICE,Giriulla
50036,POST_OFFICE,Gnanikulam
82104,POST_OFFICE,Goda Koggalla
70556,POST_OFFICE,Godagampola
80302,POST_OFFICE,Godahena
70160,POST_OFFICE,Godakawela
20214,POST_OFFICE,Godamunna
81408,POST_OFFICE,Godapitiya
90067,POST_OFFICE,Godunna
60522,POST_OFFICE,Gokarella
20184,POST_OFFICE,Gomagoda
31026,POST_OFFICE,Gomarankadawala
81073,POST_OFFICE,Gombaddala
81072,POST_OFFICE,Gomila Mawarala
71318,POST_OFFICE,Gonagala
80502,POST_OFFICE,Gonagalapura
60005,POST_OFFICE,Gonagama
82602,POST_OFFICE,Gonagamuwa Uduwila
91107,POST_OFFICE,Gonaganara
20712,POST_OFFICE,Gonagantenna
32064,POST_OFFICE,Gonagolla
50554,POST_OFFICE,Gonahaddenawa
22226,POST_OFFICE,Gonakele
80054,POST_OFFICE,Gonamulla Junction
80230,POST_OFFICE,Gonapinuwala
12410,POST_OFFICE,Gonapola Junction
11630,POST_OFFICE,Gonawala
20656,POST_OFFICE,Gonawalapatana
60170,POST_OFFICE,Gonawila
11315,POST_OFFICE,Gongitota
82006,POST_OFFICE,Gonnoruwa
12310,POST_OFFICE,Govinna
20270,POST_OFFICE,Gunnepana
70136,POST_OFFICE,Gurubewilagama
20189,POST_OFFICE,Gurudeniya
12236,POST_OFFICE,Gurulubedda
90208,POST_OFFICE,Gurutalawa
80630,POST_OFFICE,Habaraduwa
10204,POST_OFFICE,Habarakada
50150,POST_OFFICE,Habarana
80506,POST_OFFICE,Haburugala
22208,POST_OFFICE,Haggala
71715,POST_OFFICE,Hakabellawaka
71352,POST_OFFICE,Hakahinna
81300,POST_OFFICE,Hakmana
82248,POST_OFFICE,Hakuruwela
61135,POST_OFFICE,Haldanduwana
90180,POST_OFFICE,Haldummulla
22240,POST_OFFICE,Halgranoya
90060,POST_OFFICE,Hali Ela
12055,POST_OFFICE,Halkandawila
50552,POST_OFFICE,Halmillawetiya
60441,POST_OFFICE,Halmillawewa
50124,POST_OFFICE,Halmillewa Dambulla
20032,POST_OFFICE,Haloluwa
20515,POST_OFFICE,Haloya
70145,POST_OFFICE,Halpe
12538,POST_OFFICE,Haltota
80146,POST_OFFICE,Halvitigala Colony
12118,POST_OFFICE,Halwala
12306,POST_OFFICE,Halwatura
70171,POST_OFFICE,Halwinna
82000,POST_OFFICE,Hambantota
91308,POST_OFFICE,Hambegamuwa
20984,POST_OFFICE,Handaganawa
70106,POST_OFFICE,Handagiriya
10524,POST_OFFICE,Handapangoda
20438,POST_OFFICE,Handawalapitiya
20480,POST_OFFICE,Handessa
81326,POST_OFFICE,Handugala
21536,POST_OFFICE,Handungamuwa
22044,POST_OFFICE,Hangarapitiya
90224,POST_OFFICE,Hangunnawa
20710,POST_OFFICE,Hanguranketha
51098,POST_OFFICE,Hansayapalama
10650,POST_OFFICE,Hanwella
22668,POST_OFFICE,Hapugastalawa
70164,POST_OFFICE,Hapugastenna
90160,POST_OFFICE,Haputale
22669,POST_OFFICE,Harangalagama
20092,POST_OFFICE,Harankahawa
22262,POST_OFFICE,Harasbedda
20960,POST_OFFICE,Hasalaka
70105,POST_OFFICE,Hatangala
70108,POST_OFFICE,Hatarabage
20060,POST_OFFICE,Hataraliyadda
82013,POST_OFFICE,Hathporuwa
22000,POST_OFFICE,Hatton
21514,POST_OFFICE,Hattota Amuna
00500,POST_OFFICE,Havelock Town
80132,POST_OFFICE,Hawpe
90724,POST_OFFICE,Hebarawa
22683,POST_OFFICE,Hebbekanda
12234,POST_OFFICE,Hedigalla Colony
22024,POST_OFFICE,Hedunuwewa
90112,POST_OFFICE,Heeloya
11618,POST_OFFICE,Heiyanthuduwa
90122,POST_OFFICE,Helahalpe
71046,POST_OFFICE,Helamada
90094,POST_OFFICE,Helapupula
71530,POST_OFFICE,Hemmatagama
11307,POST_OFFICE,Hendala
11715,POST_OFFICE,Henegama
60414,POST_OFFICE,Hengamuwa
70058,POST_OFFICE,Hettikanda
71210,POST_OFFICE,Hettimulla
60430,POST_OFFICE,Hettipola
71108,POST_OFFICE,Hewadiwela
20440,POST_OFFICE,Hewaheta
10714,POST_OFFICE,Hewainna
90358,POST_OFFICE,Hewanakumbura
90607,POST_OFFICE,Hewanwatta
70012,POST_OFFICE,Hidellana
50044,POST_OFFICE,Hidogama
80240,POST_OFFICE,Hikkaduwa
60486,POST_OFFICE,Hilogama
11568,POST_OFFICE,Hinatiyana Madawala
20414,POST_OFFICE,Hindagala
60034,POST_OFFICE,Hindagolla
71520,POST_OFFICE,Hingula
51408,POST_OFFICE,Hingurakdamana
51400,POST_OFFICE,Hingurakgoda
71417,POST_OFFICE,Hinguralakanda
32010,POST_OFFICE,Hingurana
90508,POST_OFFICE,Hingurukaduwa
80080,POST_OFFICE,Hiniduma
70296,POST_OFFICE,Hiramadagama
10232,POST_OFFICE,Hiripitiya
71014,POST_OFFICE,Hiriwadunna
60591,POST_OFFICE,Hiriyala Ambagaswewa
60546,POST_OFFICE,Hiriyala Lenawa
60458,POST_OFFICE,Hiruwalpola
11734,POST_OFFICE,Hiswella
22046,POST_OFFICE,Hitigegama
80056,POST_OFFICE,Hiyare
10118,POST_OFFICE,Hokandara
10200,POST_OFFICE,Homagama
20524,POST_OFFICE,Hondiyadeniya
90524,POST_OFFICE,Hopton
90163,POST_OFFICE,Horadorowwa
10502,POST_OFFICE,Horagala
11564,POST_OFFICE,Horampella
12400,POST_OFFICE,Horana
